"fecha","emision","NUMERO_OPERACIONES","VOLUMEN","IMPORTE","VARIACION","PRECIO_APERTURA","PRECIO_MAXIMO","PRECIO_MINIMO","PRECIO_PROMEDIO_PONDERADO","PRECIO_CIERRE","PORCENTAJE"
2012-12-31,"AC.*",683,204647,19665427.86,0.55,97.2,97.2,95.95,96.09,96.09,0.5748
2013-01-02,"AC.*",1353,738189,72270012.84,1.52,96.12,98.7,96.12,97.97,97.97,1.5795
2013-01-03,"AC.*",1837,796055,77758122.43,-0.56,98.06,98.25,95.56,96.72,96.72,-0.5728
2013-01-04,"AC.*",3252,828924,80651873.15,-0.44,96.82,97.99,96.7,96.96,96.96,-0.4527
2013-01-07,"AC.*",1641,609716,59451937.85,0.7,96.95,97.7,96.94,97.52,97.52,0.7235
2013-01-08,"AC.*",1698,1094097,106674550.53,-0.18,97.99,98,96.89,97.26,97.26,-0.1847
2013-01-09,"AC.*",1258,1364071,132057533.48,-0.96,97.36,97.93,96.02,96.46,96.46,-0.9869
2013-01-10,"AC.*",1718,910469,87221034.77,-0.63,96.46,97,95.51,95.68,95.68,-0.6541
2013-01-11,"AC.*",1126,392062,37594319.41,0.61,95.68,96.44,95.55,95.91,95.91,0.6375
2013-01-14,"AC.*",2329,1064303,100878499.07,-2.39,96.99,97,93.01,93.61,93.61,-2.482
2013-01-15,"AC.*",3017,1406897,131520346.24,0.1,93.95,94.84,93,93.92,93.92,0.1064
2013-01-16,"AC.*",1909,909777,86059145.25,0.6,94.02,94.95,94.01,94.44,94.44,0.6382
2013-01-17,"AC.*",1626,1050192,100088393.85,0.8,94.7,95.84,94.7,95.55,95.55,0.8456
2013-01-18,"AC.*",1540,981621,94034903.02,0.38,95.55,96.45,94.5,96,96,0.3983
2013-01-21,"AC.*",551,350422,33647993.59,0.36,96.74,96.74,95.95,96.13,96.13,0.3758
2013-01-22,"AC.*",2091,1439383,138169113.14,-0.41,95.5,96.27,95.42,95.95,95.95,-0.4264
